art_cod;art_des_1;art_des_2;art_cat_fis;art_lis_1;art_lis_2;art_gru_ven
1108040820004    ;"HD HITACHI 20Gb 2.5""          ";;2;87,28;91,87;11
1108040840002    ;"HD HITACHI 40Gb 2.5""          ";;2;109,51;115,27;11
1108040864008    ;"HD HITACHI 60Gb 2,5""          ";;2;138,52;145,81;11
1108041312003    ;HD MAXTOR 120Gb 7200giri      ;;2;72,84;76,67;11
1108041312010    ;HD MAXTOR 120Gb 8Mb Cache     ;;2;79,69;83,88;11
1108041312027    ;HD MAXTOR 120Gb SATA ATA/150  ;;2;91,25;96,05;11
1108041316001    ;HD MAXTOR 160Gb 7200 8mb Cache;;2;104,34;109,83;11
1108041316018    ;HD MAXTOR 160Gb SATA ATA/150  ;;2;103,84;109,3;11
1108041325003    ;HD MAXTOR 250Mb 7200giri      ;;2;186,54;196,35;11
1108041340006    ;HD MAXTOR 40Gb 7200giri       ;;2;43,5;45,79;11
1108041360011    ;HD MAXTOR 60Gb 8Mb CACHE      ;;2;68,48;72,08;11
1108041380002    ;HD MAXTOR 80Gb 7200 8MB CACHE ;;2;65,43;68,87;11
1108041380019    ;HD MAXTOR 80Gb 7200g          ;;2;52,98;55,77;11
1108041380026    ;HD MAXTOR 80Gb SATA150        ;;2;67,85;71,42;11
1108041736007    ;HD QUANTUM/MAX 36.4Gb 10K SCSI;;2;139,98;147,34;11
1108041920024    ;"HD SEAGATE 20Gb 2.5""NOTEBOOK  ";;2;87,28;91,87;11
1813190205051    ;SW. MICROSOFT OFFICE SB XP    ;;5;168,85;177,73;18
1813190205037    ;SW. MICROSOFT OFFICE XP PROFES;OEM                           ;5;262,8;276,62;18
1813230914073    ;SW. MICROSOFT WINDOWS XP HOME ;;5;71,95;75,73;18
1813230914011    ;SW. MICROSOFT Win 98          ;;5;79,58;83,77;18
1813230914028    ;SW. MICROSOFT Win SERVER2003  ;;5;580,4;610,93;18
1813230914035    ;SW. MICROSOFT Win XP/2000 PROF;;5;119,46;125,74;18
2201130413014    ;CPU AMD 1,3GHz DURON          ;;3;28,54;30,04;22
2201130420005    ;CPU AMD K7/2000 XP BOX        ;;3;57,95;61;22
2201130421002    ;CPU AMD K7/2200 XP BOX        ;;3;61,85;65,1;22
2201130424003    ;CPU AMD K7/2400 XP BOX        ;;3;71,95;75,73;22
2201130425000    ;CPU AMD K7/2500 XP BARTON BOX ;;3;78,95;83,1;22
2201130426007    ;CPU AMD K7/2600 XP BARTON BOX ;;3;90,55;95,31;22
2201130428018    ;CPU AMD K7/2800 XP BARTON BOX ;;3;128,16;134,9;22
2201130430035    ;CPU AMD K7/3000 XP BARTON BOX ;;3;178,95;188,36;22
2209142020015    ;CPU INTEL Cel. 2,0GHz/128S.478;;3;54,89;57,78;22
2209142024013    ;CPU INTEL Cel. 2.4GHz/128S.478;;3;59,74;62,88;22
2209142026000    ;CPU INTEL Cel. 2.6GHZ BOX     ;;3;76,76;80,8;22
2209142026602    ;CPU INTEL PIV 2,66GHz S478 BOX;;3;139,56;146,9;22
2209142026673    ;CPU INTEL PIV 2,6GHz 800 BOX  ;;3;153,25;161,31;22
2209142028011    ;CPU INTEL PIV 2,8GHz 800 BOX  ;;3;184,89;194,62;22
2209142028004    ;CPU INTEL PIV 2,8GHz S.478 BOX;;3;159,9;168,31;22
2209142030001    ;CPU INTEL PIV 3,0GHz S.478 BOX;;3;224,95;236,78;22
3104091313302    ;DIMM 256 DDR 400 KINGSTON     ;;4;35,4;37,26;31
3104091313357    ;DIMM 256 DDR 400 V-DATA       ;;4;29,75;31,31;31
3104091313340    ;DIMM 512 DDR 400 KINGSTON     ;;4;72,9;76,73;31
3104091313142    ;DIMM 512 DDR 400 VDATA        ;;4;58,85;61,95;31
